,name,id,genres
0,Knee Deep & DJ Spen feat. Biblical Jones,2FB1RZEWc8tNzolPeGMfXn,[]
1,Soley,1zo2ucFhzu58hKcniMpSQs,[]
2,Isaiah,3ahXO5tjZ4XDuQdHpKl174,['hardgroove']
3,MVKUTA,5XZWeBrq7AoS35UeLzvTBl,['tearout']
4,Mariana Root,4NT6cO2LP8O6QyQFE0xjnu,['shamanic']
5,Blessed Feathers,0m2Xvn3JcV58sPCDV2GfSD,"['stomp pop', 'wisconsin indie']"
6,Monoca,6XnuUbPRGNKZxjhTuFqyGA,[]
7,Zerb,6mDl7lQiLxT0iQ8LYhAlWy,[]
8,Marc Ribot,7jAeRfT8LYCxydM2Y1Egvn,"['experimental guitar', 'tzadik']"
9,Antonio Flores,6GwZIG7UlxQR6n9kO8QlV6,"['cantautor', 'rumba', 'spanish new wave', 'spanish pop']"
10,JEON SOYEON,6Xg22wJOAcnvPUfk5WvODH,['k-pop']
11,Los Mesoneros,0OluGbRuQQEcYyttGww517,"['venezuelan indie', 'venezuelan rock']"
12,Mint Condition,4MT97VeycuegSicrrphisJ,"['contemporary r&b', 'minneapolis sound', 'new jack swing', 'r&b']"
13,Tinariwen,2sf2owtFSCvz2MLfxmNdkb,"['afropop', 'desert blues', 'malian blues', 'moroccan rock', 'musique touareg', 'tuareg guitar', 'western saharan folk', 'world']"
14,The Ink Spots,5bOsFzuJ6QZMr86ezC4oXY,"['lounge', 'vocal harmony group']"
15,Mel & Tim,2ubLClBEuddw29m7QRx4IL,"['chicago soul', 'memphis soul']"
16,Dogzilla,0nZ8fhAqB1iDmtVQfQCUlY,[]
17,Grizzy Hendrix,49wYFixRwbVXnLN6lov9hu,['deep underground hip hop']
18,Omar Maayah,6u8JsGr0C2AcxO4e0LeeFy,['australian r&b']
19,Mica Sotera,4hXUE7BWcwfS06fkyqBZh1,[]
20,Fredrik Halland,1mpWjwlT2FumW9YYEwVqVd,[]
21,Cazzi Opeia,1OKyf1iS27lqvUFebKrbee,[]
22,The Ventures,2GaayiIs1kcyNqRXQuzp35,['surf music']
23,Beanie Sigel,0tCtGc5vt29zFZp6KXzN50,"['battle rap', 'east coast hip hop', 'philly rap']"
24,Flavio,2PpQXJidwYjlmvUyyWqsxN,['latin talent show']
25,Jendrik,58E6TLHwF0cHdkrLd5iNRh,[]
26,Charly Black,5sK8BsvyDl4TFA6KaBf8or,"['dancehall', 'jamaican dancehall']"
27,DJ BoBo,14dmbYen0AciYxu5n4Fkpd,"['eurodance', 'europop']"
28,Siwson,5XCs7iOyRKOPRvKL4DgFtQ,[]
29,ALEXSUCKS,0zmxCsd8aIJHfNC95gdT2i,[]
30,Rhythms Del Mundo,7kXpvrS3xtr0nGzNFGuuQq,[]
31,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
32,GIMS,0GOx72r5AAEKRGQFn3xqXK,"['french hip hop', 'french pop', 'r&b francais', 'rap conscient']"
33,Tay Walker,31RaitnNW0bVhYgLl01rRw,['indie r&b']
34,Vetiver,7ACSlU8kTcQIbvpwLWze8E,"['freak folk', 'indie folk', 'stomp and holler']"
35,Kristianex,4NInysVDJHz7PCE9PfRs31,['covertronica']
36,Agnes Obel,1rKrEdI6GKirxWHxIUPYms,['chamber pop']
37,Heidi Klum,7gmNO7Sv6EFNtxJ7JTgeaC,[]
38,Stella Mwangi,0ypwPd6ZLWkYuNVRnRFor2,"['bossbeat', 'kenyan pop', 'norwegian hip hop']"
39,Andrew Gentry Remix,3CoAtWDWF5WmYDuqmK04Kl,[]
40,Vitamin String Quartet,6MERXsiRbur2oJZFgYRDKz,['bow pop']
41,Dusky,5gqoUf9vKKv96b1c0GBKwu,"['deep house', 'future garage', 'house']"
42,Drope,0idwebOrNjXYS7KuCsDY45,[]
43,R.I.O.,0Ol3Jol2T3lZZVLNNzWPhj,['german dance']
44,Landon Austin,2WROyFfIOmKtRopsTrIL52,"['channel pop', 'viral pop']"
45,Tim Eshin,0MIELhUkO2GlHsYfatULMO,[]
46,Natalie Hayes,1ofVwPTzuP0asNCtpo95BJ,[]
47,Dwele,7u6LfVyYpEzMpHLL7jTyvU,['neo soul']
48,Najwa Karam,5Nmm8A6gr93sRxz1SckQj1,"['arab pop', 'belly dance', 'dabke', 'lebanese pop']"
49,Mark Ambor,11p2E654TTU8e0nZWBR4AL,['singer-songwriter pop']
50,Yavid,1HBJnOYccDj8iUQiLXnUEu,['flint hip hop']
51,Loic Penillo,4URHRM2dWolCDWbSm0PYMS,[]
52,John De Sohn,3TVjdmhfFoYJLgBEkkZTBm,"['deep pop edm', 'pop dance', 'swedish tropical house']"
53,Billy Morrison,5p5z43dPcFgT0EI7Ycf3XD,[]
54,Human Error,7xEYdKXaij4MokhryQCFOV,['progressive deathcore']
55,Chill Insider,3sPWaKW0cy5M8FiiGXiL41,[]
56,7 Hills Worship,0SLXOHoqcGPOsH9RZETtp1,"['pop worship', 'worship']"
57,Elizabeth Cook,0dyEUZv8ftA0dzL5vb2Y9s,"['alternative country', 'outlaw country']"
58,Enzo,2zhxw6A7BNmwZpgCJkjwRz,"['focus', 'relaxative']"
59,Mariya Yaremchuk,2GcuaSJbRVxaoxtwlob8G5,[]
60,HUNNY,5rebfYbZVIhbRVcRKWVOAh,"['indie pop', 'pov: indie']"
61,Paradiso Girls,0Ll05d44isngmRZHZEjfIY,['girl group']
62,Demillion,32S40fjLHBg4qhNMLbTtAn,[]
63,El Fantasma,0my6Pg4I28dVcZLSpAkqhv,"['banda', 'corrido', 'musica mexicana', 'norteno']"
64,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,"['bossa nova', 'mpb', 'samba', 'tropicalia']"
65,YSN Flow,1je11NKORfLMSjgSNP0DPF,['melodic rap']
66,Moo Latte,3gNjxcKLkMfZYKlLxn0O9F,['lo-fi beats']
67,Chris Dave and The Drumhedz,3UdXt9iWJmKa9Rq481qd4O,['indie jazz']
68,Saya Noé,563nLkswIGnyeDcdWHeead,['hungarian pop']
69,Spesh,3SLh3twCEQ2JzZg13SK4Xp,[]
70,The Size Queens,6eXmlm3P0jLuNDc8KqRjr6,[]
71,Dro Fe,0JgRstxHntWC1kFPRXgaJd,[]
72,Airship Express,57Inb370WrtJEz0OtdNwiG,['sleep']
73,Alegra,26l6IOmk3uxgeKLcm2WZTG,[]
74,David Heartbreak,1CmRmBCOQnukXTAlG8vgkV,['moombahton']
75,Jorge Rivera-Herrans,2kdmTOXncgNHSuYVMhdd5I,[]
76,Tactix,7w6GDftDeg4IjIWPi9OlKg,[]
77,Elizabeth Mitchell,3gBQ1U5dXpRXS6tlbyNTDM,"[""children's folk"", ""children's music"", 'kindie rock']"
78,Mirai,6oEZ7IsYCH7xwmb83A6eQx,[]
79,bnkr44,1lwGYDWoXC7E5wDNYZBurw,"['hyperpop italiano', 'italian pop']"
80,Katie Simpson,5hISlaDVezGRi9oED5ReGv,[]
81,Anxhela Peristeri,1hV3gbtU77osxNgFEuKq9h,['albanian pop']
82,Wh0,132Hhe61bhvXtkygENHZHA,"['house', 'tech house', 'uk dance']"
83,Faheem Abdullah,05etL4pzWd6TSv1x5WrlG3,['kashmiri pop']
84,Blckbrd,3KaGYKJVfw5bBMfqWj5p2O,[]
85,Sandra Lyng,6OS2jyNVjuVsvA63jsw3Rf,['norwegian pop']
86,MAD DUBZ,4TQ72C7aaARXGuHB7qBPk7,"['dubstep', 'gaming dubstep', 'riddim dubstep', 'tearout']"
87,Koresma,14EybDMySlkntyuxgm1pek,[]
88,Ahadadream,3SvsaUFZZNgVZYKrcFgzWW,['experimental club']
89,The Orb,5HAtRoEPUvGSA7ziTGB1cF,"['ambient house', 'electronica', 'intelligent dance music', 'trip hop']"
90,Kinnda Hamid,1PURQTqOAVMJlfKNaA5dNg,[]
91,Adam Ness,0v6Ds0fKi8I8tip1YbvaJh,[]
92,Raphael DeLove,2WHKOM9mlVBFVyLloTzFYA,['tropical house']
93,Malcolm Lockyer,77JxqpV1lBaWeTaK6siboG,[]
94,Kemba,0oZASNXz7lmZGoXFh8GnZM,"['alternative hip hop', 'indie hip hop']"
95,John Jackson,2RmoX9xrSH20eaQEgCpBRX,[]
96,Thom Merlin,0N6fCdc4H9CuUysWoCb9FC,['chill house']
97,SOHLHEE,5XrsbWgv35l6TUBYGaBP22,[]
98,Gold Panda,6xS3zemJD9h94iueQvGqVk,"['chillwave', 'electronica', 'future garage', 'indietronica', 'microhouse', 'wonky']"
99,Koko Deniro,1T7Qm8z8CJPD6ZkUDCRti6,[]
